config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,sync_event_interval_mean_us,sync_event_interval_var,gm_rate_ratio_mean,gm_rate_ratio_std,pdelay_mean_us,label
BenignDiverse_gPTP_Working,0,av1,0,0.0,9.020423745869724e-05,1.2396294050131595e-12,500.0,1,110,35.31023403894289,45.20528624991217,0.2500000000000001,3.0,0,,,,,0.5000000000000001,0
BenignDiverse_gPTP_Working,0,av1,1,0.01,9.003407116386363e-05,1.2611379268581965e-12,500.0,1,111,41.25465452767407,43.52305704238068,0.24999999999999986,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,2,0.02,9.001913851410002e-05,1.3098037704564866e-12,500.0,1,111,41.549663868500154,44.36784384834093,0.2500000000000003,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,3,0.03,8.990119712561259e-05,1.3269007314347478e-12,500.0,1,112,41.33143489150562,43.90404087191857,0.25000000000000017,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,4,0.04,8.99659349125e-05,1.4936048831790684e-12,500.0,1,111,40.97725238793529,44.281412524284434,0.25000000000000017,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,5,0.05,8.991134222849091e-05,1.1834629384301205e-12,500.0,1,111,41.426712829191025,43.58151906758379,0.25000000000000017,2.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av1,6,0.06,8.992089527932722e-05,1.2135641350649238e-12,500.0,1,111,43.85022547385864,45.523563944658044,0.25000000000000033,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,7,0.07,8.981050300012614e-05,1.2558667459913732e-12,500.0,1,112,41.76341004564645,43.46943946273325,0.25000000000000033,2.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av1,8,0.08,8.998734330584545e-05,1.529601589395447e-12,500.0,1,111,44.46483718388079,45.31329103651392,0.25000000000000033,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,9,0.09,9.004782864118185e-05,1.4061849693200222e-12,500.0,1,111,40.150817779919315,43.03066315333119,0.25000000000000033,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,10,0.1,9.005512824073634e-05,1.435971289219828e-12,500.0,1,111,42.956175021134186,45.162870577313164,0.24999999999999895,2.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av1,11,0.11,8.993358425355463e-05,1.3385404299952053e-12,500.0,1,111,41.38013411409821,46.777020490108626,0.25000000000000033,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,12,0.12,8.997881028979084e-05,1.5200160380315849e-12,500.0,1,111,39.18462167972588,43.53811496656139,0.24999999999998612,2.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av1,13,0.13,9.005523010044551e-05,1.4584897947150284e-12,500.0,1,111,39.81834407467628,45.917736748519374,0.24999999999997224,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av1,14,0.14,8.982230792927033e-05,1.3320483122456466e-12,500.0,1,112,40.04078239463176,44.39583692306465,0.250000000000025,2.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,0,0.0,9.001607840187156e-05,1.1628906794086238e-12,500.0,1,110,48.187409717305265,49.511077986699625,0.2500000000000001,3.0,0,,,,,0.5000000000000001,0
BenignDiverse_gPTP_Working,0,av2,1,0.01,8.998127010151818e-05,1.436571209901423e-12,500.0,1,111,57.753005903920624,49.03251385947357,0.24999999999999986,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,2,0.02,9.00554713316e-05,1.4751994575841342e-12,500.0,1,111,58.53045402605242,49.40789293160105,0.2500000000000003,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,3,0.03,9.010608144672726e-05,1.429710724310381e-12,500.0,1,111,56.72407858607283,49.11941864426906,0.25000000000000017,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,4,0.04,9.005336765069092e-05,1.3002009186829386e-12,500.0,1,111,56.984257742569675,48.25918623396537,0.25000000000000017,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,5,0.05,9.00840577970636e-05,1.4809110158659261e-12,500.0,1,111,58.463266407526056,49.19442790703217,0.25000000000000017,3.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av2,6,0.06,9.003197674280912e-05,1.4128566463326396e-12,500.0,1,111,57.21186507612216,47.5609551045276,0.25000000000000033,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,7,0.07,9.015447460175448e-05,1.3126868281284337e-12,500.0,1,111,58.686814768658806,48.79776907013693,0.25000000000000033,3.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av2,8,0.08,8.998716490362732e-05,1.4599707875672839e-12,500.0,1,111,57.57264726647746,47.54744572175649,0.25000000000000033,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,9,0.09,9.004408594739993e-05,1.3955518447605684e-12,500.0,1,111,57.139097790483305,49.289207059161434,0.25000000000000033,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,10,0.1,8.998060228294547e-05,1.370108129299418e-12,500.0,1,111,58.175151257981106,49.708594229515015,0.24999999999999895,3.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av2,11,0.11,9.034681530732733e-05,1.115047998797488e-12,500.0,1,111,56.38778769857103,49.706399911711074,0.25000000000000033,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,12,0.12,9.012727438896377e-05,1.2433888686487859e-12,500.0,1,111,56.46049744276775,50.37787953303645,0.24999999999998612,3.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,av2,13,0.13,9.003895704719993e-05,1.2843231958403522e-12,500.0,1,111,55.78034130223328,49.94453652397295,0.24999999999997224,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,av2,14,0.14,9.009698251796382e-05,1.4269419114122873e-12,500.0,1,111,56.12479792539161,49.96922732406859,0.250000000000025,3.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,0,0.0,0.0004998780761385789,7.405899013767393e-12,64.0,1,20,53.23653157760871,51.33781141980428,0.2500000000000001,13.0,0,,,,,0.5000000000000001,0
BenignDiverse_gPTP_Working,0,radarNode,1,0.01,0.0004991337704924738,9.481555160436057e-12,64.0,1,20,60.2494464167577,50.054245285069236,0.24999999999999986,16.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,2,0.02,0.0005001047364388422,3.695484898994112e-12,64.0,1,20,59.770633499526014,50.21369433664579,0.2500000000000003,19.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,3,0.03,0.0004991428841652631,6.514525817618032e-12,64.0,1,20,59.95502456679354,50.34871665689432,0.25000000000000017,22.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,4,0.04,0.0005011509747414739,1.124021207448707e-11,64.0,1,20,60.25081211594788,50.12089437157882,0.25000000000000017,26.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,5,0.05,0.0004981225529581051,5.5971340225744685e-12,64.0,1,20,58.98904579917085,50.38140684260314,0.25000000000000017,29.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,radarNode,6,0.06,0.000500470705885421,7.78540619941819e-12,64.0,1,20,60.33862816248762,50.438446143772445,0.25000000000000033,33.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,7,0.07,0.0004992458755122633,8.344836461428304e-12,64.0,1,20,59.27570030184041,50.300933812716444,0.25000000000000033,36.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,radarNode,8,0.08,0.0005003936551479472,1.1205553098107819e-11,64.0,1,20,60.40436094482416,50.43570926699426,0.25000000000000033,39.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,9,0.09,0.000501491202861737,9.236215294819364e-12,64.0,1,20,60.01749387576328,49.91270064580956,0.25000000000000033,42.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,10,0.1,0.0005000595871321054,6.82781494599682e-12,64.0,1,20,60.30074507717517,49.964830800531146,0.24999999999999895,45.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,radarNode,11,0.11,0.000499624587239368,1.1919259130948946e-11,64.0,1,20,60.40411725086023,50.5035101113578,0.25000000000000033,48.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,12,0.12,0.0005000793283670008,9.01793204096919e-12,64.0,1,20,58.99371067922685,50.4296021088221,0.24999999999998612,51.0,0,,,1.0,0.0,,0
BenignDiverse_gPTP_Working,0,radarNode,13,0.13,0.000500508903315474,8.878360882823887e-12,64.0,1,20,59.95575181491604,50.74667495613489,0.24999999999997224,55.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,radarNode,14,0.14,0.0005005670754900003,9.99044743933184e-12,64.0,1,20,60.1930125320913,50.03718013962794,0.250000000000025,58.0,0,,,,,,0
