config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
BenignDiverse,0,av1,0,0.0,9.020423744954128e-05,1.2396294288146558e-12,500.0,1,110,3.1644346874999996,8.651678333617077,0.2500000000000001,2.0,0,0
BenignDiverse,0,av1,1,0.01,9.00340711181818e-05,1.2611378163040927e-12,500.0,1,111,,,0.24999999999999986,0,0,0
BenignDiverse,0,av1,2,0.02,9.001913860000003e-05,1.3098037834586551e-12,500.0,1,111,,,0.2500000000000003,0,0,0
BenignDiverse,0,av1,3,0.03,8.990119708108109e-05,1.3269006992870201e-12,500.0,1,112,,,0.25000000000000017,0,0,0
BenignDiverse,0,av1,4,0.04,8.996593494545458e-05,1.4936049269415785e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,0,av1,5,0.05,8.991134218181815e-05,1.1834629355389524e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,0,av1,6,0.06,8.992089529090911e-05,1.2135640994947947e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av1,7,0.07,8.981050300900905e-05,1.2558668276079645e-12,500.0,1,112,,,0.25000000000000033,0,0,0
BenignDiverse,0,av1,8,0.08,8.998734333636359e-05,1.5296016555626652e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av1,9,0.09,9.004782860909086e-05,1.4061849842281562e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av1,10,0.1,9.005512819999998e-05,1.435971319846543e-12,500.0,1,111,,,0.24999999999999895,0,0,0
BenignDiverse,0,av1,11,0.11,8.993358419999999e-05,1.3385404726454344e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av1,12,0.12,8.99788103363637e-05,1.5200160867366555e-12,500.0,1,111,,,0.24999999999998612,0,0,0
BenignDiverse,0,av1,13,0.13,9.005523007272729e-05,1.4584897939295374e-12,500.0,1,111,,,0.24999999999997224,0,0,0
BenignDiverse,0,av1,14,0.14,8.982230798198217e-05,1.3320482718913928e-12,500.0,1,112,,,0.250000000000025,0,0,0
