episode,reward
0,0.85
1,3.9816176470588234
2,0.85
3,3.88
4,6.0
5,3.88
6,3.8499999999999996
7,0.85
8,3.9724264705882355
9,0.9816176470588235
10,0.9724264705882353
11,3.9724264705882355
12,6.0
13,3.88
14,3.8499999999999996
15,3.8499999999999996
16,3.8499999999999996
17,0.9724264705882353
18,4.0
19,3.9724264705882355
20,6.0
21,3.8499999999999996
22,0.9724264705882353
23,3.9724264705882355
24,2.85
25,3.9816176470588234
26,3.9816176470588234
27,3.8499999999999996
28,2.85
29,6.0
30,3.9724264705882355
31,3.9816176470588234
32,0.9724264705882353
33,3.8499999999999996
34,0.85
35,3.9816176470588234
36,0.9724264705882353
37,0.88
38,3.9816176470588234
39,6.0
40,0.85
41,3.8499999999999996
42,2.85
43,2.85
44,3.88
45,0.85
46,3.88
47,0.85
48,3.8499999999999996
49,3.8499999999999996
50,0.88
51,6.0
52,3.8499999999999996
53,3.9816176470588234
54,3.88
55,1.0
56,1.0
57,3.9724264705882355
58,3.88
59,3.8499999999999996
60,2.88
61,0.85
62,3.9816176470588234
63,3.88
64,6.0
65,3.8499999999999996
66,3.8499999999999996
67,0.85
68,1.0
69,3.9724264705882355
70,3.9816176470588234
71,1.0
72,0.9816176470588235
73,3.9724264705882355
74,3.9724264705882355
75,0.88
76,3.88
77,3.8499999999999996
78,1.0
79,3.9724264705882355
80,3.8499999999999996
81,3.8499999999999996
82,3.8499999999999996
83,6.0
84,3.88
85,3.9816176470588234
86,6.0
87,3.88
88,3.88
89,1.0
90,3.9816176470588234
91,3.9816176470588234
92,1.0
93,3.8499999999999996
94,3.8499999999999996
95,3.8499999999999996
96,0.85
97,3.9724264705882355
98,6.0
99,4.0
100,3.0
101,0.88
102,3.88
103,6.0
104,0.9816176470588235
105,3.88
106,6.0
107,0.85
108,0.9724264705882353
109,3.8499999999999996
110,3.8499999999999996
111,3.9724264705882355
112,6.0
113,3.88
114,3.9816176470588234
115,3.9724264705882355
116,3.9816176470588234
117,3.8499999999999996
118,0.9724264705882353
119,2.85
120,1.0
121,0.9724264705882353
122,0.9816176470588235
123,6.0
124,3.9724264705882355
125,3.8499999999999996
126,3.8499999999999996
127,2.85
128,6.0
129,3.9724264705882355
130,3.9816176470588234
131,0.85
132,3.88
133,1.0
134,3.8499999999999996
135,4.0
136,2.88
137,6.0
138,6.0
139,0.85
140,3.9724264705882355
141,0.85
142,0.9816176470588235
143,0.9816176470588235
144,0.9816176470588235
145,0.9724264705882353
146,1.0
147,3.8499999999999996
148,0.9816176470588235
149,0.85
150,2.85
151,3.8499999999999996
152,3.9816176470588234
153,3.9816176470588234
154,6.0
155,0.85
156,3.88
157,6.0
158,3.9724264705882355
159,3.9724264705882355
160,3.8499999999999996
161,3.9724264705882355
162,3.88
163,3.88
164,3.8499999999999996
165,3.88
166,2.85
167,0.9724264705882353
168,3.8499999999999996
169,3.8499999999999996
170,0.9724264705882353
171,3.8499999999999996
172,3.9724264705882355
173,0.85
174,0.85
175,3.9816176470588234
176,2.85
177,0.9724264705882353
178,3.88
179,2.85
180,3.9816176470588234
181,3.8499999999999996
182,3.9724264705882355
183,3.88
184,3.9816176470588234
185,0.9816176470588235
186,3.9816176470588234
187,6.0
188,3.8499999999999996
189,3.8499999999999996
190,3.9816176470588234
191,6.0
192,1.0
193,0.9816176470588235
194,3.8499999999999996
195,3.88
196,6.0
197,3.8499999999999996
198,0.88
199,2.85
200,0.88
201,3.88
202,6.0
203,3.8499999999999996
204,3.8499999999999996
205,3.88
206,3.9724264705882355
207,3.9724264705882355
208,3.9724264705882355
209,0.9816176470588235
210,3.8499999999999996
211,6.0
212,3.88
213,3.9816176470588234
214,2.88
215,0.88
216,3.9724264705882355
217,3.8499999999999996
218,3.88
219,3.9816176470588234
220,3.8499999999999996
221,3.9724264705882355
222,0.85
223,0.85
224,6.0
225,3.8499999999999996
226,4.0
227,3.9816176470588234
228,1.0
